m,MSE,Sparsity,Min_SVD_Error,Max_SVD_Error,sketching_error,inv_squared_sketching_error
8500,1.9825535371091912e-06,10,0.9152312088954153,1.089759124904583,1.089759124904583,0.8420521161519986
8600,2.2637745403125715e-06,10,0.9220988358136588,1.106149101082043,1.106149101082043,0.8172833633922324
8700,2.089068185667644e-06,10,0.9283035109058315,1.0830797254246538,1.0830797254246538,0.8524700850250525
8800,1.9704171547599664e-06,10,0.9342970539889512,1.0733412622584946,1.0733412622584946,0.8680092426913506
8900,2.3048016085160936e-06,10,0.9393329029836426,1.0797436659004633,1.0797436659004633,0.8577459377832151
9000,2.0793377342256267e-06,10,0.9460040205206901,1.0627699833841335,1.0627699833841335,0.8853631465152162
9100,2.1364066687926306e-06,10,0.952665159280619,1.1295520108432267,1.1295520108432267,0.7837680107533791
9200,2.0359859662633283e-06,10,0.9570311583302769,1.0636888121805756,1.0636888121805756,0.8838342298055778
9300,1.8367414998288808e-06,10,0.9999999999999993,1.0790051767080202,1.0790051767080202,0.8589204509101701
9400,1.9978525800158843e-06,10,0.9687346986947217,1.084484385709013,1.084484385709013,0.8502632198794754
9500,2.3198851726019253e-06,10,0.9999999999999996,1.036631522264674,1.036631522264674,0.9305745655416952
9600,1.6606502131403239e-06,10,0.9786345966159867,1.044671499171392,1.044671499171392,0.9163059511467812
9700,1.852067633319904e-06,10,0.9999999999999996,1.0272459381558292,1.0272459381558292,0.9476569120448689
9800,2.1848975506299065e-06,10,0.9898704104937838,1.026245005812191,1.026245005812191,0.9495063788306033
9900,1.6792433209137524e-06,10,0.9999999999999998,1.0253625182397337,1.0253625182397337,0.951141484755326
10000,1.7591369454217878e-06,10,1.0,1.0209210159673412,1.0209210159673412,0.959435341589914
